lat,lon,year,scenario,chill_days
29.031,-122.553,2020,ssp126,0
29.031,-121.33,2020,ssp126,0
29.031,-120.106,2020,ssp126,0
29.031,-118.883,2020,ssp126,0
29.031,-117.66,2020,ssp126,0
29.031,-116.436,2020,ssp126,0
29.031,-115.213,2020,ssp126,0
29.031,-113.989,2020,ssp126,11
29.031,-112.766,2020,ssp126,25
29.031,-111.543,2020,ssp126,38
29.031,-110.319,2020,ssp126,52
29.031,-109.096,2020,ssp126,72
29.031,-107.872,2020,ssp126,95
29.031,-106.649,2020,ssp126,93
29.031,-105.426,2020,ssp126,81
29.031,-104.202,2020,ssp126,74
29.031,-102.979,2020,ssp126,70
29.031,-101.755,2020,ssp126,66
29.031,-100.532,2020,ssp126,61
29.031,-99.308,2020,ssp126,54
29.031,-98.085,2020,ssp126,45
29.031,-96.862,2020,ssp126,34
29.031,-95.638,2020,ssp126,21
29.031,-94.415,2020,ssp126,13
29.031,-93.192,2020,ssp126,9
29.031,-91.968,2020,ssp126,6
29.031,-90.745,2020,ssp126,4
29.031,-89.521,2020,ssp126,3
29.031,-88.298,2020,ssp126,1
29.031,-87.074,2020,ssp126,0
29.031,-85.851,2020,ssp126,1
29.031,-84.628,2020,ssp126,2
29.031,-83.404,2020,ssp126,6
29.031,-82.181,2020,ssp126,8
29.031,-80.957,2020,ssp126,4
29.031,-79.734,2020,ssp126,0
29.031,-78.511,2020,ssp126,0
29.031,-77.287,2020,ssp126,0
29.031,-76.064,2020,ssp126,0
29.031,-74.84,2020,ssp126,0
29.031,-73.617,2020,ssp126,0
29.031,-72.394,2020,ssp126,0
29.031,-71.17,2020,ssp126,0
29.031,-69.947,2020,ssp126,0
29.031,-68.723,2020,ssp126,0
29.031,-67.5,2020,ssp126,0
29.65,-125.0,2020,ssp126,0
29.65,-123.777,2020,ssp126,0
29.65,-122.553,2020,ssp126,0
29.65,-121.33,2020,ssp126,0
29.65,-120.106,2020,ssp126,0
29.65,-118.883,2020,ssp126,0
29.65,-117.66,2020,ssp126,0
29.65,-116.436,2020,ssp126,7
29.65,-115.213,2020,ssp126,15
29.65,-113.989,2020,ssp126,25
29.65,-112.766,2020,ssp126,35
